,0
-5933.31959817,8376.90922187
-5651.91864635,8040.08685582
-5386.32532405,7695.07262623
-5139.10377901,7359.22704976
-4920.96633244,7041.98593061
-4699.2524464,6735.09825511
-4537.77289161,6513.89268309
-4357.52004502,6264.39584613
-4176.30797684,6004.48009318
-3988.6432983,5740.25558404
-3799.97744201,5483.090717
-3623.82465215,5238.87362471
-3450.01569608,5015.65670405
-3284.8103155,4799.10913246
-3104.41447818,4582.60618177
-2936.31137654,4381.85646475
-2791.48213758,4187.66632518
-2651.96092089,3988.05079649
-2503.46841201,3812.99824964
-2383.35375149,3655.82835654
-2258.99844349,3504.7418315
-2111.46158722,3343.16492717
-1976.58546044,3171.01296134
-1857.10811105,3013.82236149
-1742.07289929,2866.96170875
-1624.6724462,2729.47099937
-1520.70868637,2595.55760303
-1414.23243018,2474.22761451
-1318.47365087,2354.96686105
-1236.46533767,2229.64505621
-1157.99116283,2110.84794181
-1084.60025373,2007.94444417
-1017.23254734,1918.62068311
-946.485216053,1839.64130425
-877.405663477,1770.04959787
-820.351181237,1701.93953462
-771.146799452,1632.66773279
-736.072560385,1564.23841935
-691.062054641,1507.21021302
-657.469830707,1444.57298801
-631.153380177,1384.5692212
-597.068761378,1336.92016532
-551.728607664,1284.14335008
-512.358139772,1233.75912412
-489.428084088,1188.73685643
-457.716213928,1149.45169819
-411.132036655,1107.1731576
-372.690190231,1062.65830352
-337.193253161,1014.20358909
-294.999543617,962.216206424
-265.556813533,912.382972677
-246.784870896,871.185376833
-230.267324592,838.966974226
-205.93827958,817.651936019
-181.589272426,787.827154235
-152.809546447,754.752147183
-128.467592736,731.345988144
-114.719137275,709.091624635
-125.09854906,852.16446467
-123.117116905,919.278782102
-122.208465,933.050182895
